MMSI,timestamp,Latitude,Longitude,SOG,COG,Ship type,event_id
211810060,2021-12-24 09:16:07,54.757268,14.779185,2.7,132.0,HSC,0
211810060,2021-12-24 09:16:17,54.757187,14.779352,2.7,129.8,HSC,0
211810060,2021-12-24 09:16:28,54.757098,14.779535,2.7,129.5,HSC,0
211810060,2021-12-24 09:16:37,54.75703,14.77969,2.7,127.9,HSC,0
211810060,2021-12-24 09:16:47,54.75695,14.77985,2.6,129.6,HSC,0
211810060,2021-12-24 09:16:58,54.75687,14.78004,2.6,127.6,HSC,0
211810060,2021-12-24 09:17:07,54.7568,14.780157,2.6,130.1,HSC,0
211810060,2021-12-24 09:17:17,54.756723,14.780313,2.6,129.9,HSC,0
211810060,2021-12-24 09:17:28,54.75664,14.780488,2.6,130.3,HSC,0
211810060,2021-12-24 09:17:37,54.756567,14.780655,2.6,129.7,HSC,0
211810060,2021-12-24 09:17:48,54.756488,14.780813,2.6,129.6,HSC,0
211810060,2021-12-24 09:17:58,54.756395,14.780983,2.6,130.4,HSC,0
211810060,2021-12-24 09:18:07,54.75632,14.781137,2.7,130.1,HSC,0
211810060,2021-12-24 09:18:17,54.756238,14.78128,2.7,131.7,HSC,0
211810060,2021-12-24 09:18:28,54.756112,14.781482,3.0,135.4,HSC,0
211810060,2021-12-24 09:18:37,54.755955,14.781743,4.3,135.5,HSC,0
211810060,2021-12-24 09:18:48,54.755783,14.782307,6.5,120.6,HSC,0
211810060,2021-12-24 09:18:54,54.755692,14.78275,7.9,114.8,HSC,0
211810060,2021-12-24 09:18:58,54.755647,14.783018,8.2,112.0,HSC,0
211810060,2021-12-24 09:19:01,54.7556,14.783212,8.3,112.0,HSC,0
211810060,2021-12-24 09:19:07,54.755475,14.783535,8.2,116.9,HSC,0
211810060,2021-12-24 09:19:11,54.755397,14.783755,8.1,118.1,HSC,0
211810060,2021-12-24 09:19:17,54.755273,14.784143,7.9,117.9,HSC,0
211810060,2021-12-24 09:19:28,54.75504,14.784757,8.2,121.4,HSC,0
211810060,2021-12-24 09:19:37,54.754813,14.785253,8.5,125.1,HSC,0
211810060,2021-12-24 09:19:44,54.754648,14.78563,8.5,126.1,HSC,0
211810060,2021-12-24 09:19:48,54.754568,14.785783,8.5,127.4,HSC,0
211810060,2021-12-24 09:19:51,54.75446,14.785983,8.5,129.2,HSC,0
211810060,2021-12-24 09:19:58,54.754262,14.786327,8.6,131.7,HSC,0
211810060,2021-12-24 09:20:04,54.754042,14.78671,9.7,133.4,HSC,0
211810060,2021-12-24 09:20:07,54.75392,14.786918,10.4,134.1,HSC,0
211810060,2021-12-24 09:20:11,54.753795,14.787117,10.9,135.1,HSC,0
211810060,2021-12-24 09:20:14,54.753633,14.78736,11.1,136.4,HSC,0
211810060,2021-12-24 09:20:17,54.753535,14.787453,11.2,138.8,HSC,0
211810060,2021-12-24 09:20:23,54.753535,14.787453,11.2,138.8,HSC,0
211810060,2021-12-24 09:20:28,54.752807,14.787902,13.7,155.0,HSC,0
211810060,2021-12-24 09:20:34,54.752335,14.788,14.9,163.9,HSC,0
